"Time [ms]","Moving1.Torque [NewtonMeter] - Im='0A' speed_rpm='1000rpm'","Moving1.Torque [NewtonMeter] - Im='0A' speed_rpm='5000rpm'","Moving1.Torque [NewtonMeter] - Im='110A' speed_rpm='2865rpm'"
0,-0.0367649900601918,-0.0367649900603159,10.9543304257429
0.048,,0.00876959943531139,
0.0837696335078534,,,11.1999175526852
0.096,,-0.0303191574588239,
0.144,,0.0455633592252441,
0.167539267015707,,,11.206369694739
0.192,,-0.0129894327929029,
0.24,0.00876959943491109,-0.0126903476517835,
0.25130890052356,,,11.170515323304
0.288,,-0.0125687679875186,
0.335078534031414,,,11.0993605183397
0.336,,0.0303034260493148,
0.384,,-0.00280622365799041,
0.418848167539267,,,11.2695333913458
0.432,,-0.032286041181047,
0.48,-0.0303191574587363,0.0109809000278535,
0.50261780104712,,,11.303049914916
0.528,,0.0167290105394182,
0.576,,0.016385637004482,
0.586387434554974,,,11.1535174519249
0.624,,-0.037088142222141,
0.670157068062827,,,10.969000641181
0.672,,0.0290555091183416,
0.72,0.0455633592250297,-0.00819557615966416,
0.753926701570681,,,11.0946782840635
0.768,,0.0321281794367052,
0.816,,-0.0505525660810996,
0.837696335078534,,,11.2489368040998
0.864,,0.0347899607242398,
0.912,,-0.0281136404895079,
0.921465968586388,,,11.1852350554544
0.96,-0.0129894327927202,0.0507917858872049,
1.00523560209424,,,11.1054536529584
1.008,,-0.0502711596142087,
1.056,,0.0308122750916709,
1.08900523560209,,,11.1854211248757
1.104,,-0.0360976514062943,
1.152,,0.0470963616365789,
1.17277486910995,,,11.3550089434706
1.2,-0.0126903476515708,-0.0358860250656171,
1.248,,0.00910142424133599,
1.2565445026178,,,11.2017090169168
1.296,,-0.0311480997232926,
1.34031413612565,,,11.0201005673903
1.344,,0.0442314321712616,
1.392,,-0.0138281255414477,
1.42408376963351,,,10.9980927232127
1.44,-0.0125687679873566,-0.0140524771960948,
1.488,,-0.0134323604670178,
1.50785340314136,,,11.2613589385329
1.536,,0.0310022728736376,
1.584,,-0.001983442503198,
1.59162303664921,,,11.1842312262535
1.632,,-0.031883762736407,
1.67539267015707,,,11.1473999407555
1.68,0.030303426049079,0.0105670523260888,
1.728,,0.0156868003486059,
1.75916230366492,,,11.1105266538949
1.776,,0.0157342145892995,
1.824,,-0.0384035443471792,
1.84293193717278,,,11.3493038740236
1.872,,0.0286529658524993,
1.92,-0.00280622365819522,-0.00784890243095293,
1.92670157068063,,,11.2433885919017
1.968,,0.0330843458891332,
2.01047120418848,,,11.0913520372997
2.016,,-0.0500455586319613,
2.064,,0.0365345191010469,
2.09424083769634,,,10.9555549391833
2.112,,-0.0273822556979479,
2.16,-0.0322860411808803,0.0504667143121419,
2.17801047120419,,,11.1999085699751
2.208,,-0.0473005066478698,
2.256,,0.0313326423736575,
2.26178010471204,,,11.2052384136641
2.304,,-0.0373521123285296,
2.3455497382199,,,11.1690858158629
2.352,,0.0460629922041955,
2.4,0.0109809000275538,-0.0365882868691952,
2.42931937172775,,,11.0983347557293
2.5130890052356,,,11.2685868479939
2.59685863874346,,,11.3023907151182
2.64,0.016729010539382,,
2.68062827225131,,,11.1544555926481
2.76439790575916,,,10.9697355146204
2.84816753926702,,,11.0947290136295
2.88,0.0163856370041965,,
2.93193717277487,,,11.2486264916519
3.01570680628272,,,11.1841544435373
3.09947643979058,,,11.1048619702194
3.12,-0.0370881422224534,,
3.18324607329843,,,11.1844727160457
3.26701570680628,,,11.3551860374582
3.35078534031414,,,11.20225440586
3.36,0.0290555091184459,,
3.43455497382199,,,11.0212621471203
3.51832460732984,,,10.9990213180655
3.6,-0.0081955761595745,,
3.6020942408377,,,11.263226518138
3.68586387434555,,,11.1851510874283
3.7696335078534,,,11.1472176015409
3.84,0.0321281794368883,,
3.85340314136126,,,11.1132931253782
3.93717277486911,,,11.3497662314575
4.02094240837696,,,11.2419116898312
4.08,-0.0505525660814528,,
4.10471204188482,,,11.0902275253024
4.18848167539267,,,10.9548917588249
4.32,0.0347899607242124,,
4.56,-0.0281136404897172,,
4.8,0.0507917858868309,,
5.04,-0.0502711596142066,,
5.28,0.0308122750919929,,
5.52,-0.0360976514060898,,
5.76,0.0470963616366612,,
6,-0.0358860250655597,,
6.24,0.00910142424131589,,
6.48,-0.0311480997229425,,
6.72,0.044231432171418,,
6.95999999999999,-0.0138281255413332,,
7.19999999999999,-0.0140524771961694,,
7.43999999999999,-0.0134323604670646,,
7.67999999999999,0.0310022728738155,,
7.91999999999999,-0.00198344250324269,,
8.16,-0.0318837627367767,,
8.4,0.0105670523262679,,
8.64,0.0156868003485475,,
8.88,0.0157342145896772,,
9.12,-0.0384035443472973,,
9.36,0.0286529658525453,,
9.6,-0.00784890243046877,,
9.84,0.0330843458892022,,
10.08,-0.0500455586320493,,
10.32,0.0365345191012315,,
10.56,-0.0273822556977574,,
10.8,0.0504667143121448,,
11.04,-0.0473005066479032,,
11.28,0.0313326423738169,,
11.52,-0.0373521123287329,,
11.76,0.0460629922043126,,
12,-0.0365882868690553,,
