"Time [ms]","CoreLoss [W] - Im='0A' speed_rpm='1000rpm'","CoreLoss [W] - Im='0A' speed_rpm='5000rpm'","CoreLoss [W] - Im='110A' speed_rpm='2865rpm'"
0,0,0,0
0.048,,28.9783595676567,
0.0837696335078534,,,11.8758894595612
0.096,,31.2748153769078,
0.144,,32.1518982860546,
0.167539267015707,,,13.2564569864207
0.192,,32.3643365564143,
0.24,1.55103778486011,33.0636329930403,
0.25130890052356,,,13.7630491132716
0.288,,33.6102572136065,
0.335078534031414,,,14.360586328016
0.336,,33.3444638074512,
0.384,,33.0077312673935,
0.418848167539267,,,14.9176990095375
0.432,,33.0858886889808,
0.48,1.96103311573092,33.8854364170355,
0.50261780104712,,,14.7700057973122
0.528,,33.9795458421159,
0.576,,33.8904340318013,
0.586387434554974,,,13.9564344534742
0.624,,33.7840870066531,
0.670157068062827,,,13.5384402547696
0.672,,34.8797069186179,
0.72,2.15149554813282,34.7937457606212,
0.753926701570681,,,14.5060853321367
0.768,,34.4793007607066,
0.816,,33.8073121837577,
0.837696335078534,,,15.2040952710425
0.864,,34.4359770338367,
0.912,,33.9624316320407,
0.921465968586388,,,15.3702112829729
0.96,2.2553410565314,33.6719885399371,
1.00523560209424,,,15.6079621240448
1.008,,33.0536922239346,
1.056,,34.0260214340851,
1.08900523560209,,,16.1119222294582
1.104,,34.3926052150668,
1.152,,34.7608779465916,
1.17277486910995,,,16.1652493694038
1.2,2.36408194156456,34.7657795069226,
1.248,,36.2725227518676,
1.2565445026178,,,15.3080925927508
1.296,,37.5861858377869,
1.34031413612565,,,14.0995838448288
1.344,,38.4393085131287,
1.392,,39.0034058621435,
1.42408376963351,,,14.5578022369561
1.44,2.42864147770239,40.2099452074258,
1.488,,41.2572513403247,
1.50785340314136,,,15.2060687328498
1.536,,41.707742884407,
1.584,,41.9407945613053,
1.59162303664921,,,15.1504379266391
1.632,,42.856777940393,
1.67539267015707,,,15.1408460588316
1.68,2.39347932650702,44.2124382502393,
1.728,,44.6036906055518,
1.75916230366492,,,15.6091770135757
1.776,,44.5796244984684,
1.824,,44.9610475126388,
1.84293193717278,,,15.9740564350913
1.872,,46.5132348535805,
1.92,2.38580163270892,47.107926972835,
1.92670157068063,,,15.5754070664264
1.968,,47.1798047166422,
2.01047120418848,,,14.6337113895539
2.016,,47.1686384238471,
2.064,,48.5677315839022,
2.09424083769634,,,14.8742251410747
2.112,,48.9437244340638,
2.16,2.39246938770463,48.8499589309259,
2.17801047120419,,,16.3336367378401
2.208,,48.403314622749,
2.256,,49.4124352521331,
2.26178010471204,,,17.1638968219632
2.304,,49.6433851367826,
2.3455497382199,,,17.5856134661458
2.352,,49.3734081199074,
2.4,2.48302252923915,48.7192761361414,
2.42931937172775,,,18.3333596404141
2.5130890052356,,,19.2515596623462
2.59685863874346,,,19.5859568378074
2.64,2.51550279810765,,
2.68062827225131,,,19.4814393939334
2.76439790575916,,,20.0461816637319
2.84816753926702,,,21.4009724665994
2.88,2.54744207537562,,
2.93193717277487,,,22.2383625562396
3.01570680628272,,,22.4193115463565
3.09947643979058,,,22.8120986851661
3.12,2.55428369863378,,
3.18324607329843,,,23.4592555136262
3.26701570680628,,,23.5686040483536
3.35078534031414,,,22.9040257344263
3.36,2.68802911927604,,
3.43455497382199,,,22.5184662868562
3.51832460732984,,,23.444667627145
3.6,2.68327618925078,,
3.6020942408377,,,24.4163381193924
3.68586387434555,,,24.6657555754446
3.7696335078534,,,24.7720057002703
3.84,2.64957566055225,,
3.85340314136126,,,25.282064701852
3.93717277486911,,,25.6915681812048
4.02094240837696,,,25.1482743645744
4.08,2.57141547290585,,
4.10471204188482,,,24.2895975202831
4.18848167539267,,,24.3972158716437
4.32,2.60443682162208,,
4.56,2.51384290600073,,
4.8,2.47365033403835,,
5.04,2.42225786704217,,
5.28,2.52065647895763,,
5.52,2.58868754908556,,
5.76,2.68013212699451,,
6,2.75265868495143,,
6.24,2.98540077591901,,
6.48,3.2244828574281,,
6.72,3.40925946658924,,
6.95999999999999,3.5831459942628,,
7.19999999999999,3.79324619561014,,
7.43999999999999,3.95762066888559,,
7.67999999999999,4.06566108857013,,
7.91999999999999,4.17220178650241,,
8.16,4.34669411900634,,
8.4,4.54897926067686,,
8.64,4.6408241863322,,
8.88,4.68556677168308,,
9.12,4.78989801568109,,
9.36,5.01432847168382,,
9.6,5.14583038383125,,
9.84,5.18956739128709,,
10.08,5.24366263001334,,
10.32,5.43064830933913,,
10.56,5.50996735783729,,
10.8,5.50914797268608,,
11.04,5.49202322765379,,
11.28,5.59823764352864,,
11.52,5.6392381763428,,
11.76,5.60285208601955,,
12,5.54321126600793,,
